row_id,full_name,balance,currency,updated_at
C00006,John Berners-Lee,24676.78,USD,1775012760000
C00013,Radia Perlman,30349.79,GBP,1775037660000
C00137,Donald Perlman,26124.67,SEK,1775351100000
C00007,Edsger Liskov,4661.19,GBP,1775014260000
C00028,Frances Allen,3256.79,SEK,1775081220000
C00001,Ada Berners-Lee,41418.44,GBP,1775004480000
C00112,Margaret Turing,22768.84,EUR,1775265780000
C00160,Tim Hamilton,35794.11,GBP,1775400240000
C00195,Barbara McCarthy,43213.19,EUR,1775505360000
C00076,Radia Hopper,41068.93,EUR,1775195520000
C00123,Grace Knuth,1179.45,USD,1775293860000
C00002,Donald Knuth,19310.61,GBP,1775006160000
C00125,Edsger Liskov,45255.66,EUR,1775294580000
C00018,Barbara Lovelace,47681.88,EUR,1775050920000
C00052,Vint McCarthy,48955.75,GBP,1775143200000
C00220,Barbara Liskov,21628.97,GBP,1775598180000
C00046,John Knuth,42621.29,SEK,1775120220000
C00205,Radia Hopper,43782.91,SEK,1775538600000
C00029,Radia Dijkstra,24541.8,GBP,1775081820000
C00030,Donald Hamilton,36449.46,SEK,1775084820000
C00032,Donald Turing,10225.4,USD,1775088780000
C00162,Margaret Hopper,1076.85,GBP,1775404260000
C00106,Grace Knuth,7520.42,SEK,1775263200000
C00135,John Berners-Lee,35798.15,USD,1775324040000
C00050,Alan Berners-Lee,20461.53,GBP,1775136300000
C00038,Donald Cerf,31925.81,USD,1775098860000
C00173,Frances Knuth,39497.83,SEK,1775427780000
C00087,Grace Perlman,11022.37,EUR,1775216100000
C00040,Vint Hamilton,23994.14,GBP,1775107800000
C00011,Ada Liskov,49559.03,EUR,1775029560000
C00211,Donald Dijkstra,25346.26,EUR,1775574180000
C00061,Frances Hopper,48461.17,GBP,1775168400000
C00110,Barbara Berners-Lee,8050.42,USD,1775264460000
C00159,Margaret Liskov,32522.73,USD,1775397780000
C00185,Vint Berners-Lee,23130.23,USD,1775463000000
C00170,John Berners-Lee,39697.94,EUR,1775424120000
C00116,Tim Lovelace,37787.86,GBP,1775280960000
C00010,Frances Hamilton,10135.62,SEK,1775021940000
C00156,Frances Dijkstra,45991.78,EUR,1775394120000
C00009,Margaret McCarthy,2858.65,GBP,1775019300000
C00190,Vint Knuth,17572.86,GBP,1775492040000
C00183,Margaret Allen,26922.4,USD,1775459520000
C00204,Barbara Turing,39839.64,EUR,1775526240000
C00097,Vint Knuth,2777.47,EUR,1775239020000
C00109,Radia Lovelace,37893.05,SEK,1775263500000
C00000,Ada Allen,40809.24,SEK,1775003640000
C00078,John Hamilton,35893.27,SEK,1775199300000
C00181,Grace Hamilton,5744.9,SEK,1775454180000
C00047,Grace Allen,36029.56,SEK,1775128080000
C00133,Ada Liskov,26354.78,EUR,1775319480000
C00086,Edsger Berners-Lee,14892.07,GBP,1775213400000
C00144,Grace Cerf,36828.27,USD,1775374620000
C00191,John Hopper,21.18,SEK,1775499600000
C00121,Margaret Turing,23141.78,EUR,1775290260000
C00089,Frances Lovelace,36782.27,EUR,1775217900000
C00098,Radia Allen,7678.14,USD,1775240580000
C00115,Radia McCarthy,11739.26,USD,1775278260000
C00094,Radia Knuth,6880.81,SEK,1775234940000
C00065,Margaret Perlman,-1417.74,SEK,1775177400000
C00141,John Turing,32864.49,EUR,1775368500000
C00085,Margaret McCarthy,10548.88,GBP,1775211960000
C00206,Donald Turing,7953.22,USD,1775539140000
C00208,Donald Hamilton,7557.07,GBP,1775556600000
C00060,Vint Berners-Lee,43556.76,SEK,1775167860000
C00023,Ada Turing,33092.79,EUR,1775060640000
C00176,Donald Berners-Lee,20742.57,USD,1775441280000
C00080,Edsger Berners-Lee,39663.86,USD,1775202900000
C00074,Donald Perlman,45045.5,EUR,1775189640000
C00037,Margaret Hamilton,37935.6,EUR,1775096880000
C00216,Frances Berners-Lee,44359.12,SEK,1775589840000
C00058,Radia Liskov,10811.92,GBP,1775155380000
C00132,Tim Turing,29180.52,EUR,1775318820000
C00140,Frances Perlman,37442.36,EUR,1775367600000
C00069,Edsger Berners-Lee,25687.05,EUR,1775181060000
C00129,Grace Liskov,40399.7,EUR,1775297220000
C00203,Grace Turing,36616.57,USD,1775524980000
C00045,Alan Knuth,13941.81,USD,1775120100000
