account_id,home_lat,home_lon,base_score
A0000,55.424966,109.607499,0.693458
A0001,-14.592253,-14.990122,0.417612
A0002,30.927325,-77.293317,0.611116
A0003,-2.888532,13.668608,0.416743
A0004,0.828488,7.416808,0.939516
A0005,51.446937,36.649061,0.870756
A0006,-27.885855,-7.820446,0.516423
A0007,8.282391,117.517932,0.756647
A0008,-36.6695,-87.993284,0.901219
A0009,43.243422,-121.402946,0.526741
A0010,2.587147,11.832544,0.400227
A0011,-26.877809,-102.917428,0.596153
A0012,45.494544,-107.724034,0.760614
A0013,36.280179,-51.288669,0.313888
A0014,-18.027147,39.922123,0.85601
A0015,49.708758,141.066991,0.935697
A0016,40.961428,60.299541,0.681899
A0017,51.603196,-40.933121,0.700703
A0018,-49.445509,160.375802,0.838305
A0019,-21.675558,131.523839,0.701196
A0020,32.608034,17.004164,0.903293
A0021,23.821806,149.954067,0.404618
A0022,-22.991857,52.794998,0.947268
A0023,-33.159555,52.968093,0.729263
A0024,41.339539,84.620807,0.705344
A0025,52.264678,133.94318,0.759658
A0026,11.473042,88.942693,0.366568
A0027,-45.043398,-110.729667,0.335639
A0028,-10.326121,102.009647,0.614324
A0029,41.176869,-35.776914,0.831525
A0030,-11.611015,41.085533,0.4061
A0031,20.580812,167.213726,0.935891
A0032,-57.44005,117.784318,0.837168
A0033,-45.31795,26.321222,0.396503
A0034,30.341462,-163.643755,0.441907
A0035,59.09175,46.555217,0.901469
A0036,-48.780622,70.907377,0.864414
A0037,10.501656,166.219681,0.536556
A0038,-40.317371,40.127036,0.764055
A0039,-55.18556,93.833083,0.864012
A0040,-2.893251,38.976284,0.647897
A0041,21.241124,-29.588618,0.83626
A0042,-34.394441,43.814701,0.388224
A0043,39.23605,-72.805755,0.348947
A0044,-39.058839,-90.88755,0.637779
A0045,-28.058975,-86.802347,0.788516
A0046,-13.795673,-117.783042,0.554235
A0047,-10.257445,113.64823,0.378283
A0048,-25.001421,-41.03338,0.389803
A0049,-22.36516,140.492594,0.800043
A0050,-7.199394,-163.665531,0.316881
A0051,-27.039273,19.934972,0.488495
A0052,57.459739,17.222231,0.351708
A0053,-18.834477,108.62098,0.501825
A0054,0.225636,163.754515,0.482237
A0055,53.39361,-149.550722,0.70935
A0056,57.434381,49.089711,0.3629
A0057,3.616361,-122.480509,0.801883
A0058,-21.082764,45.07671,0.660368
A0059,-20.730335,-110.124676,0.344385
