transaction_id,cc_num,datetime,amount,merchant,category,lat,long
T000032740,403900000062,2025-12-07T20:25:00Z,10.56,m_774,cash_advance,36.8389,-108.8506
T000032746,482600000050,2025-12-07T20:39:00Z,11.46,m_231,restaurant,38.3331,-77.6358
T000032747,490400000207,2025-12-07T20:40:00Z,5.2,m_514,travel,38.0183,-120.7676
T000032748,488800000242,2025-12-07T20:40:00Z,4.14,m_232,travel,33.532,-100.3624
T000032749,486600000046,2025-12-07T20:43:00Z,43.21,m_510,electronics,40.5121,-96.6197
T000032750,433100000271,2025-12-07T20:45:00Z,12.37,m_067,cash_advance,41.4685,-78.0828
T000032751,408700000002,2025-12-07T20:45:00Z,27.92,m_451,electronics,37.2965,-94.7538
T000032752,473800000088,2025-12-07T20:47:00Z,18.97,m_446,entertainment,48.61,-98.9467
T000032753,427100000293,2025-12-07T21:04:00Z,37.08,m_199,entertainment,29.9053,-113.3124
T000032754,455200000029,2025-12-07T21:26:00Z,31.37,m_277,clothing,44.5909,-74.3513
T000032756,409000000198,2025-12-07T21:51:00Z,11.27,m_388,clothing,47.8017,-80.8796
T000032758,444800000104,2025-12-07T22:07:00Z,16.98,m_597,grocery,41.407,-77.3705
T000032759,401300000033,2025-12-07T22:17:00Z,41.84,m_575,fuel,38.0646,-113.9303
T000032760,499500000281,2025-12-07T22:51:00Z,22.29,m_233,grocery,47.6285,-75.9818
T000032761,467400000299,2025-12-07T22:56:00Z,31.79,m_308,travel,26.5399,-109.1668
T000032762,447000000194,2025-12-07T23:27:00Z,9.7,m_761,entertainment,34.982,-81.6861
T000032763,494800000019,2025-12-07T23:29:00Z,13.16,m_359,restaurant,25.6442,-102.6111
T000032764,489100000057,2025-12-08T00:03:00Z,25.29,m_459,fuel,46.0392,-73.4594
T000032765,400100000173,2025-12-08T00:10:00Z,24.39,m_125,clothing,47.5139,-83.096
T000032767,459100000090,2025-12-08T00:57:00Z,26.47,m_252,entertainment,40.6565,-82.9276
T000032768,431300000248,2025-12-08T00:59:00Z,55.72,m_142,travel,26.391,-86.4938
T000032769,400900000156,2025-12-08T01:07:00Z,51.19,m_188,cash_advance,40.3018,-106.8756
T000032770,470100000147,2025-12-08T01:20:00Z,23.52,m_314,health,29.5138,-83.0061
T000032771,403400000178,2025-12-08T01:34:00Z,24.52,m_507,health,26.6514,-113.74
T000032773,490100000041,2025-12-08T02:13:00Z,18.22,m_771,electronics,34.8102,-90.8497
T000032777,426900000083,2025-12-08T02:47:00Z,24.83,m_625,restaurant,47.0552,-82.9179
T000032778,479800000010,2025-12-08T03:14:00Z,34.13,m_750,travel,37.3132,-117.5629
T000032779,438100000157,2025-12-08T03:30:00Z,23.03,m_296,entertainment,28.8853,-98.4885
T000032781,418600000223,2025-12-08T03:49:00Z,26.18,m_669,entertainment,48.4068,-78.2138
T000032782,433600000269,2025-12-08T03:57:00Z,74.27,m_793,cash_advance,44.0351,-91.5484
T000032783,416000000196,2025-12-08T04:06:00Z,23.73,m_289,cash_advance,27.5407,-114.5667
T000032785,414100000007,2025-12-08T04:19:00Z,15.86,m_124,grocery,34.7013,-114.5066
T000032786,481700000044,2025-12-08T04:19:00Z,14.47,m_396,grocery,41.9077,-89.2456
T000032788,443500000166,2025-12-08T04:33:00Z,21.55,m_637,online,31.068,-73.1522
T000032789,496500000188,2025-12-08T05:13:00Z,29.6,m_769,travel,32.2319,-106.5687
T000032790,434500000161,2025-12-08T05:14:00Z,16.13,m_693,electronics,36.6837,-88.6509
T000032791,492800000125,2025-12-08T05:20:00Z,18.24,m_536,online,45.5661,-89.8697
T000032792,404300000189,2025-12-08T05:34:00Z,20.63,m_554,clothing,26.7548,-117.067
T000032793,465400000137,2025-12-08T05:58:00Z,8.46,m_583,cash_advance,37.5118,-117.2041
T000032794,454900000187,2025-12-08T06:15:00Z,11.88,m_798,health,41.6505,-111.6612
T000032795,468200000221,2025-12-08T06:22:00Z,55.92,m_230,restaurant,40.698,-72.2668
T000032796,483600000122,2025-12-08T06:43:00Z,8.0,m_607,online,30.2144,-90.0452
T000032799,452600000257,2025-12-08T07:35:00Z,17.65,m_085,health,29.1708,-106.2614
T000032800,421500000087,2025-12-08T08:02:00Z,20.62,m_063,grocery,46.851,-100.3628
T000032802,466900000159,2025-12-08T08:08:00Z,16.71,m_322,grocery,43.1304,-99.283
T000032803,442200000037,2025-12-08T08:10:00Z,79.68,m_728,travel,33.2647,-106.2696
T000032804,450800000191,2025-12-08T08:16:00Z,14.81,m_502,health,42.6193,-75.8311
T000032805,489100000057,2025-12-08T08:19:00Z,20.24,m_432,cash_advance,45.8064,-74.091
T000032806,454400000155,2025-12-08T08:19:00Z,74.28,m_613,restaurant,33.5349,-92.9267
T000032807,478800000015,2025-12-08T08:23:00Z,56.67,m_128,restaurant,29.8602,-113.0942
T000032810,403000000031,2025-12-08T08:30:00Z,21.02,m_615,clothing,34.8164,-89.6144
T000032811,472500000070,2025-12-08T08:32:00Z,47.86,m_411,travel,38.1894,-101.5916
T000032812,440200000212,2025-12-08T08:35:00Z,44.07,m_277,restaurant,45.8713,-102.7597
T000032813,486600000215,2025-12-08T08:36:00Z,16.15,m_677,travel,31.6076,-102.1386
T000032814,413700000232,2025-12-08T08:37:00Z,112.62,m_535,restaurant,42.6446,-105.975
T000032815,400000000251,2025-12-08T08:46:00Z,10.64,m_524,electronics,38.3178,-97.4792
T000032816,454400000155,2025-12-08T08:46:00Z,48.92,m_403,grocery,33.0141,-92.89
T000032817,421700000058,2025-12-08T08:48:00Z,23.12,m_477,grocery,43.3783,-83.601
T000032818,465400000137,2025-12-08T08:50:00Z,22.37,m_671,travel,36.693,-116.4304
T000032819,414100000007,2025-12-08T08:52:00Z,21.23,m_307,restaurant,35.8462,-113.1691
T000032820,431600000056,2025-12-08T08:56:00Z,13.38,m_314,restaurant,44.6265,-84.1332
T000032821,460200000201,2025-12-08T08:58:00Z,61.19,m_471,electronics,44.4913,-78.0214
T000032823,472200000195,2025-12-08T09:05:00Z,24.76,m_774,clothing,35.2609,-80.8642
T000032824,423900000113,2025-12-08T09:07:00Z,26.34,m_108,entertainment,31.7606,-90.959
T000032825,460200000124,2025-12-08T09:09:00Z,33.64,m_189,travel,47.3097,-74.8604
T000032826,470100000147,2025-12-08T09:09:00Z,18.04,m_212,fuel,30.3458,-83.7656
T000032827,447000000194,2025-12-08T09:10:00Z,5.65,m_303,travel,35.403,-81.2181
T000032828,475100000009,2025-12-08T09:13:00Z,36.99,m_091,online,32.9752,-78.409
T000032830,486600000215,2025-12-08T09:15:00Z,8.96,m_011,clothing,32.3002,-102.0556
T000032831,490700000100,2025-12-08T09:20:00Z,23.57,m_165,online,33.8229,-120.8323
T000032832,479800000010,2025-12-08T09:21:00Z,11.59,m_175,travel,36.5564,-118.0256
