row_id,full_name,balance,currency,updated_at
C00175,Donald Dijkstra,49845.2,SEK,1775464380000
C00021,Ada Allen,35587.96,EUR,1775034960000
C00198,Margaret Turing,12395.95,EUR,1775551500000
C00119,Donald Perlman,32115.21,SEK,1775323020000
C00121,Tim Allen,27242.84,EUR,1775325240000
C00097,Alan Turing,18782.67,SEK,1775225640000
C00126,Donald Perlman,42164.37,USD,1775341500000
C00047,Donald Hamilton,2143.61,USD,1775094720000
C00073,John Cerf,29178.96,EUR,1775156220000
C00003,Tim Hopper,44723.83,GBP,1775008800000
C00167,Tim Liskov,26201.08,GBP,1775442420000
C00192,Alan Cerf,15557.53,GBP,1775533380000
C00162,Ada Allen,24863.34,SEK,1775430720000
C00045,Tim Lovelace,25623.04,SEK,1775090520000
C00091,Edsger Knuth,38991.65,GBP,1775201100000
C00123,Radia Berners-Lee,6136.01,USD,1775331180000
C00052,Tim Liskov,1970.36,GBP,1775101080000
C00161,Tim Cerf,25362.79,USD,1775427780000
C00216,Radia Knuth,6436.85,SEK,1775604480000
C00114,Alan Hamilton,6625.49,SEK,1775303520000
C00170,John Dijkstra,7379.46,EUR,1775448540000
C00025,John Cerf,9034.69,SEK,1775044320000
C00028,Alan McCarthy,18891.12,GBP,1775049660000
C00193,Radia Liskov,15762.6,USD,1775534220000
C00112,Radia Turing,23405.67,EUR,1775295660000
C00130,John Dijkstra,43587.26,USD,1775351640000
C00185,John Dijkstra,39398.64,USD,1775483940000
C00064,Barbara Liskov,25082.03,GBP,1775135460000
C00085,Edsger Dijkstra,15295.84,USD,1775185320000
C00207,Radia Berners-Lee,2926.44,USD,1775568480000
C00215,Barbara Allen,20601.8,GBP,1775602680000
C00168,Radia Knuth,8175.45,USD,1775443500000
C00049,Edsger Berners-Lee,27839.43,USD,1775095260000
C00148,John Hamilton,22433.78,USD,1775402520000
C00031,Ada Liskov,-1964.4,GBP,1775050440000
C00014,Margaret Hamilton,13976.3,EUR,1775023080000
C00179,Frances Hamilton,17775.18,EUR,1775466240000
C00177,Ada Liskov,49551.37,GBP,1775465160000
C00100,Vint Hopper,30320.57,EUR,1775241300000
C00104,Edsger McCarthy,44838.46,SEK,1775278200000
C00069,Frances Turing,5737.55,USD,1775144640000
C00081,Alan Hamilton,3543.62,SEK,1775173200000
C00084,Edsger Perlman,43271.98,SEK,1775181240000
C00083,Radia Cerf,7070.34,EUR,1775180460000
C00101,Alan Hopper,24850.0,EUR,1775247660000
C00033,Edsger Turing,4291.79,GBP,1775061540000
C00102,Vint Turing,-1286.55,SEK,1775250960000
C00071,Grace McCarthy,5413.37,GBP,1775146920000
C00043,Donald Berners-Lee,26398.07,SEK,1775086860000
C00113,Edsger Berners-Lee,22889.1,GBP,1775300340000
C00201,John Allen,40574.07,USD,1775557560000
C00061,Alan Dijkstra,1492.2,GBP,1775121420000
C00137,Frances Liskov,31632.45,USD,1775369160000
C00054,Vint Dijkstra,17193.81,SEK,1775110680000
C00042,Donald Knuth,26315.31,GBP,1775084880000
C00019,Vint Cerf,8014.82,SEK,1775031360000
C00082,Ada Perlman,28101.42,SEK,1775180280000
C00164,Barbara Lovelace,30891.44,GBP,1775441160000
C00065,Vint Allen,24381.89,SEK,1775137440000
C00050,Alan Turing,14243.19,EUR,1775099520000
C00128,Grace Allen,24077.61,EUR,1775347740000
C00208,John Knuth,28279.58,GBP,1775569860000
C00122,Donald McCarthy,44188.06,USD,1775327460000
C00194,Margaret Allen,16597.82,SEK,1775535960000
C00105,Ada Perlman,44305.01,EUR,1775283120000
C00027,Frances Knuth,19706.35,GBP,1775048400000
C00110,Barbara Dijkstra,19616.63,GBP,1775289360000
C00151,Margaret Liskov,43417.42,SEK,1775411580000
C00150,Frances Berners-Lee,38028.02,USD,1775406180000
C00143,Donald Lovelace,33728.89,USD,1775385060000
C00076,Edsger Allen,42337.91,EUR,1775170980000
C00206,Vint Hopper,43355.75,GBP,1775568360000
C00210,Grace Allen,1113.07,USD,1775573700000
C00099,Margaret Lovelace,21728.3,GBP,1775238900000
C00066,Radia Berners-Lee,41536.99,SEK,1775139900000
C00020,Frances Liskov,32838.26,EUR,1775032320000
C00117,Margaret Perlman,-1938.97,SEK,1775306700000
C00103,Tim Berners-Lee,1919.11,EUR,1775253060000
C00016,Edsger Allen,47454.21,GBP,1775028480000
C00009,Ada Turing,9692.2,EUR,1775016780000
C00093,Barbara Allen,37302.26,SEK,1775209320000
C00067,Grace McCarthy,28001.56,USD,1775140920000
C00106,Grace Lovelace,3128.18,SEK,1775283300000
C00040,Frances Lovelace,48922.3,EUR,1775082300000
C00140,Ada Perlman,16986.21,USD,1775381460000
C00186,Ada McCarthy,32738.64,EUR,1775491260000
C00032,Grace McCarthy,15480.54,SEK,1775052120000
C00017,Radia Perlman,48071.81,SEK,1775029920000
C00155,Donald Dijkstra,27237.78,SEK,1775417760000
C00212,Grace McCarthy,38166.65,GBP,1775581860000
C00180,Tim Liskov,18128.82,EUR,1775467200000
C00197,Vint Perlman,23739.07,SEK,1775546340000
C00096,Radia Allen,44702.94,SEK,1775218620000
C00195,Frances Hopper,26384.65,GBP,1775538060000
C00202,Grace McCarthy,23544.59,SEK,1775561160000
C00205,Edsger Dijkstra,47976.97,GBP,1775567160000
C00188,Vint Cerf,18164.85,SEK,1775505900000
C00152,Ada Berners-Lee,12248.65,SEK,1775412840000
C00022,Ada Knuth,49782.77,EUR,1775036220000
C00002,Margaret Knuth,22376.4,EUR,1775007120000
C00156,Radia Perlman,31377.07,USD,1775417820000
C00062,Margaret Allen,39278.41,SEK,1775126760000
C00012,Alan Lovelace,15313.5,SEK,1775019600000
C00095,Tim Dijkstra,30355.44,USD,1775218380000
C00174,Grace Turing,29430.14,USD,1775454600000
C00142,John Dijkstra,13506.38,USD,1775383560000
C00200,Barbara Lovelace,6450.56,EUR,1775556420000
C00006,Vint Turing,40747.71,USD,1775010600000
C00078,Ada McCarthy,23538.79,EUR,1775171520000
C00132,Margaret Hopper,30330.34,SEK,1775359800000
C00141,Donald McCarthy,1201.11,EUR,1775381460000
C00037,Donald Knuth,28661.27,USD,1775079900000
C00209,Radia Knuth,27775.9,EUR,1775572800000
C00116,Grace Turing,46549.85,SEK,1775305980000
C00077,Margaret Perlman,7106.95,EUR,1775171100000
C00057,Alan Lovelace,22343.81,USD,1775113860000
C00211,Tim Hamilton,7511.12,EUR,1775581440000
C00129,Edsger Hopper,27406.9,GBP,1775349540000
C00060,Vint Cerf,48151.08,EUR,1775117520000
C00035,John Dijkstra,19021.94,USD,1775065320000
C00026,Donald Cerf,11002.59,USD,1775045940000
C00214,Margaret Dijkstra,20781.08,USD,1775601900000
C00131,Donald Knuth,46781.93,USD,1775358900000
C00138,Frances Hamilton,11387.74,USD,1775371080000
C00125,Ada Turing,26436.57,EUR,1775340420000
C00075,Edsger Hopper,15590.33,GBP,1775170140000
C00183,Donald Lovelace,29022.49,GBP,1775475120000
C00147,Vint Berners-Lee,6932.6,USD,1775398200000
C00124,Donald Knuth,10171.14,USD,1775334240000
C00098,Alan Cerf,21482.93,SEK,1775234520000
C00190,Donald Hamilton,9002.69,EUR,1775527020000
C00196,Tim Liskov,-1609.35,SEK,1775539260000
C00163,Tim Cerf,33157.56,GBP,1775440080000
C00182,Grace Cerf,42395.92,USD,1775473740000
C00169,John Cerf,43185.72,SEK,1775446020000
C00072,Edsger Hopper,16717.84,SEK,1775148300000
C00159,Barbara Liskov,44776.23,GBP,1775419140000
C00173,Barbara McCarthy,44799.65,SEK,1775451000000
C00053,John Liskov,41370.02,SEK,1775103780000
C00135,Vint Perlman,49730.26,GBP,1775362740000
C00171,Donald Berners-Lee,17270.6,EUR,1775450400000
C00178,John Perlman,26340.23,GBP,1775466060000
C00189,Ada Knuth,21108.56,USD,1775511660000
C00038,Tim Hamilton,579.02,SEK,1775081160000
C00094,Donald Dijkstra,27028.19,USD,1775213940000
C00001,Edsger Perlman,-585.72,EUR,1775003460000
C00160,Barbara Berners-Lee,15707.96,GBP,1775421240000
C00092,Alan Allen,6669.86,USD,1775207700000
C00181,Frances McCarthy,44939.77,SEK,1775470800000
C00039,Alan Perlman,1665.96,SEK,1775081220000
C00013,Vint Turing,49775.98,GBP,1775020380000
C00136,Barbara Cerf,8330.14,USD,1775368560000
C00149,Alan Liskov,36028.43,SEK,1775406120000
C00015,Grace Liskov,11764.65,EUR,1775027520000
C00204,Alan Perlman,17740.37,SEK,1775564580000
C00090,Alan Hamilton,30620.05,EUR,1775199420000
C00203,Alan Berners-Lee,10391.41,GBP,1775562540000
C00074,Edsger Hopper,38489.19,GBP,1775156640000
C00199,John Dijkstra,35766.64,SEK,1775553540000
C00087,Barbara Liskov,7198.81,USD,1775187180000
C00139,Radia Allen,8293.86,EUR,1775376600000
C00036,Grace Turing,23018.63,EUR,1775068920000
C00157,Alan Berners-Lee,35392.68,EUR,1775418360000
C00024,Barbara Knuth,13558.52,EUR,1775038980000
C00118,Edsger Knuth,45750.2,USD,1775313600000
C00134,John Lovelace,24080.72,GBP,1775362200000
C00068,Edsger Liskov,49442.51,USD,1775144280000
C00008,Donald Hopper,8193.34,USD,1775015220000
C00191,Donald Cerf,935.9,EUR,1775533260000
C00056,Radia Cerf,22690.77,GBP,1775112840000
C00213,Barbara Berners-Lee,20222.99,EUR,1775583120000
C00153,Margaret Knuth,21598.93,EUR,1775414640000
C00011,Alan Allen,21160.7,GBP,1775019180000
C00046,Edsger Berners-Lee,14245.21,SEK,1775093640000
C00010,Alan Perlman,253.76,SEK,1775017020000
C00089,Edsger Hamilton,36482.7,EUR,1775195160000
C00127,Alan Dijkstra,39832.32,GBP,1775345160000
C00187,Frances Lovelace,20219.72,USD,1775505240000
C00146,Barbara Perlman,13008.15,EUR,1775386020000
C00055,Donald Allen,48850.2,SEK,1775110680000
C00184,Ada Dijkstra,38331.03,GBP,1775482680000
