row_id,full_name,balance,currency,updated_at
C00072,Edsger McCarthy,13698.06,GBP,1775204880000
C00095,Margaret Hamilton,13005.58,SEK,1775262720000
C00066,Frances Berners-Lee,36157.31,USD,1775161380000
C00106,John Berners-Lee,14050.94,USD,1775295420000
C00191,Vint Hamilton,11917.65,SEK,1775502420000
C00008,Edsger Hamilton,14127.2,USD,1775010420000
C00195,Barbara Hopper,13892.29,EUR,1775510160000
C00090,Tim Lovelace,49883.16,GBP,1775254560000
C00015,Ada Turing,-668.29,EUR,1775017500000
C00104,Barbara Cerf,43741.34,GBP,1775292600000
C00035,Margaret Liskov,49134.24,SEK,1775056800000
C00204,Margaret McCarthy,11975.01,USD,1775544660000
C00049,Tim McCarthy,38953.54,EUR,1775108880000
C00034,Grace Allen,37411.93,GBP,1775054400000
C00128,Edsger Cerf,2011.87,USD,1775331420000
C00163,Tim Allen,4171.37,GBP,1775415840000
C00149,Radia Cerf,14196.71,GBP,1775366640000
C00120,John Berners-Lee,41577.02,USD,1775321220000
C00014,Alan McCarthy,5401.64,SEK,1775017080000
C00116,John Knuth,35432.32,USD,1775318520000
C00117,Grace Allen,36992.25,USD,1775318940000
C00011,Vint Hamilton,27175.08,USD,1775014620000
C00094,Edsger Lovelace,46179.89,EUR,1775260140000
C00058,Alan Hopper,47330.83,USD,1775135100000
C00129,Barbara Perlman,36666.09,SEK,1775331660000
C00190,Edsger Allen,15771.72,EUR,1775501820000
C00065,Vint Dijkstra,21317.65,USD,1775159160000
C00055,Donald Lovelace,14730.03,USD,1775122320000
C00096,Frances Hopper,31716.33,EUR,1775267160000
C00152,Donald Allen,976.04,GBP,1775374200000
C00140,Barbara Cerf,23174.66,GBP,1775353020000
C00118,Tim Hopper,-779.57,USD,1775319300000
C00059,Tim Knuth,7955.33,SEK,1775135580000
C00212,Alan McCarthy,32938.0,EUR,1775567460000
C00003,Ada Turing,6920.59,GBP,1775005140000
C00030,Frances Berners-Lee,7508.23,GBP,1775044260000
C00019,Frances Lovelace,8313.74,USD,1775026740000
C00159,John Perlman,17916.55,GBP,1775407920000
C00146,Alan Hamilton,29922.99,USD,1775365260000
C00209,Frances Hamilton,31718.03,SEK,1775560080000
C00144,Vint Knuth,23756.72,GBP,1775362740000
C00219,Margaret Dijkstra,2432.4,USD,1775586840000
C00021,Vint McCarthy,24985.33,EUR,1775029380000
C00134,Alan Hamilton,19082.02,GBP,1775342400000
C00040,Ada McCarthy,11749.9,GBP,1775075700000
C00052,Radia Perlman,26112.87,GBP,1775117340000
C00182,Margaret Hopper,35913.68,SEK,1775460300000
C00180,Vint Turing,2860.86,SEK,1775457120000
C00206,Donald Berners-Lee,5193.22,GBP,1775550780000
