transaction_id,cc_num,datetime,amount,merchant,category,lat,long,is_fraud
T000000000,489100000057,2025-09-01T00:06:00Z,19.08,m_419,fuel,47.0158,-73.6026,0
T000000001,420200000267,2025-09-01T00:08:00Z,33.79,m_476,travel,47.0249,-82.3922,0
T000000003,493100000068,2025-09-01T00:09:00Z,64.37,m_438,fuel,34.716,-91.2607,0
T000000008,488200000133,2025-09-01T01:09:00Z,11.92,m_749,health,46.8354,-88.6993,0
T000000010,413300000061,2025-09-01T01:23:00Z,7.54,m_615,cash_advance,34.0282,-80.5466,0
T000000011,436500000043,2025-09-01T01:28:00Z,13.1,m_368,cash_advance,34.8574,-110.5645,0
T000000015,474300000084,2025-09-01T01:48:00Z,61.4,m_692,cash_advance,27.0562,-92.4802,0
T000000016,468200000221,2025-09-01T01:54:00Z,30.22,m_336,health,40.8607,-72.0347,0
T000000017,496700000119,2025-09-01T01:56:00Z,102.59,m_117,cash_advance,37.1095,-117.2875,0
T000000018,477200000076,2025-09-01T01:57:00Z,73.76,m_231,health,42.9862,-77.8053,0
T000000019,492900000216,2025-09-01T01:57:00Z,8.39,m_621,health,35.4529,-70.9022,0
T000000020,493800000213,2025-09-01T02:15:00Z,41.16,m_390,restaurant,35.5283,-73.6239,0
T000000021,470100000147,2025-09-01T02:41:00Z,27.67,m_517,travel,30.2055,-82.9586,0
T000000022,401300000033,2025-09-01T03:06:00Z,437.57,m_444,electronics,29.2986,-112.7167,1
T000000023,451400000118,2025-09-01T03:38:00Z,9.48,m_184,travel,30.3853,-72.5728,0
T000000026,419500000045,2025-09-01T03:49:00Z,454.4,m_202,online,28.5472,-87.4336,1
T000000027,472200000195,2025-09-01T04:03:00Z,59.54,m_185,entertainment,35.1726,-80.2015,0
T000000030,434700000262,2025-09-01T04:43:00Z,7.63,m_140,entertainment,30.1484,-80.3691,0
T000000031,433600000269,2025-09-01T05:02:00Z,5.62,m_757,electronics,48.6508,-88.6521,0
T000000032,467000000279,2025-09-01T05:23:00Z,15.16,m_035,health,43.8884,-107.7188,0
T000000035,443900000180,2025-09-01T05:30:00Z,11.35,m_441,fuel,45.3456,-76.663,0
T000000036,488800000117,2025-09-01T05:32:00Z,28.25,m_102,restaurant,36.0154,-104.4059,0
T000000038,436200000283,2025-09-01T05:58:00Z,22.11,m_306,online,31.4608,-118.6493,0
T000000039,474600000256,2025-09-01T05:59:00Z,19.38,m_358,online,25.6415,-88.5958,0
T000000041,477200000076,2025-09-01T06:47:00Z,23.98,m_244,electronics,43.2979,-77.475,0
T000000042,499500000281,2025-09-01T06:49:00Z,13.87,m_214,electronics,47.3109,-75.9452,0
T000000043,429100000136,2025-09-01T07:12:00Z,49.96,m_635,health,48.4281,-79.6372,0
T000000044,405200000054,2025-09-01T07:14:00Z,43.8,m_260,entertainment,31.2774,-87.9845,0
T000000045,486500000234,2025-09-01T07:25:00Z,9.56,m_753,online,38.0427,-108.0792,0
T000000046,416600000244,2025-09-01T07:30:00Z,89.84,m_085,clothing,38.1968,-73.2534,0
T000000048,483100000286,2025-09-01T08:03:00Z,32.84,m_563,grocery,36.7477,-74.2282,0
T000000049,421000000277,2025-09-01T08:09:00Z,33.5,m_524,entertainment,42.8168,-72.9978,0
T000000050,400000000251,2025-09-01T08:16:00Z,10.22,m_525,cash_advance,38.6018,-98.1461,0
T000000052,486600000046,2025-09-01T08:20:00Z,26.73,m_023,restaurant,41.7866,-97.1014,0
T000000053,413500000264,2025-09-01T08:21:00Z,26.05,m_593,grocery,39.2188,-118.8653,0
T000000054,421200000102,2025-09-01T08:25:00Z,32.43,m_786,health,40.7434,-116.2999,0
T000000055,476900000239,2025-09-01T08:31:00Z,38.13,m_019,restaurant,30.2226,-96.5852,0
T000000059,498200000023,2025-09-01T08:47:00Z,21.4,m_671,grocery,25.0901,-86.0398,0
T000000060,436200000283,2025-09-01T08:56:00Z,41.92,m_755,restaurant,31.4775,-117.6098,0
T000000062,481700000044,2025-09-01T09:00:00Z,7.47,m_138,cash_advance,42.1763,-87.7368,0
T000000063,459200000077,2025-09-01T09:01:00Z,30.48,m_058,cash_advance,35.8252,-106.2798,0
T000000064,491000000038,2025-09-01T09:02:00Z,90.65,m_173,online,26.845,-92.6476,0
T000000065,432200000285,2025-09-01T09:05:00Z,18.46,m_114,electronics,42.3116,-113.1809,0
T000000066,467400000299,2025-09-01T09:05:00Z,40.55,m_259,electronics,26.2638,-109.6222,0
T000000067,432000000185,2025-09-01T09:08:00Z,25.91,m_603,electronics,41.4163,-83.4876,0
T000000068,484400000030,2025-09-01T09:09:00Z,17.43,m_154,electronics,28.9496,-73.8338,0
T000000069,432000000185,2025-09-01T09:11:00Z,24.68,m_255,grocery,41.4088,-82.7086,0
T000000070,479800000106,2025-09-01T09:12:00Z,32.67,m_658,clothing,27.6643,-72.609,0
T000000071,489200000253,2025-09-01T09:12:00Z,40.81,m_087,cash_advance,37.6181,-88.7978,0
T000000073,443000000144,2025-09-01T09:19:00Z,82.48,m_007,online,30.3878,-79.3395,0
T000000074,411200000218,2025-09-01T09:21:00Z,8.75,m_480,cash_advance,26.2107,-77.8012,0
T000000076,414600000120,2025-09-01T09:23:00Z,80.21,m_089,entertainment,27.5349,-79.2417,0
T000000077,468700000127,2025-09-01T09:27:00Z,5.8,m_015,cash_advance,31.9895,-122.9036,0
T000000078,413300000210,2025-09-01T09:28:00Z,64.65,m_656,grocery,32.4182,-100.8824,0
T000000079,478700000011,2025-09-01T09:28:00Z,75.34,m_572,clothing,45.859,-93.3693,0
T000000081,410600000115,2025-09-01T09:33:00Z,53.42,m_052,restaurant,28.0145,-84.6011,0
T000000083,474000000094,2025-09-01T09:37:00Z,7.85,m_407,fuel,47.8547,-116.0469,0
T000000084,441700000121,2025-09-01T09:37:00Z,25.26,m_309,cash_advance,27.0312,-105.9785,0
T000000085,432500000146,2025-09-01T09:38:00Z,9.57,m_364,grocery,26.8915,-115.4733,0
T000000086,426800000149,2025-09-01T09:44:00Z,45.0,m_530,health,29.9995,-117.8731,0
T000000087,468200000221,2025-09-01T09:44:00Z,16.87,m_568,travel,40.5118,-71.5905,0
T000000088,491700000073,2025-09-01T09:44:00Z,36.89,m_127,online,29.4235,-84.8223,0
T000000089,447000000194,2025-09-01T09:46:00Z,5.72,m_386,entertainment,35.1009,-80.8833,0
T000000090,440000000190,2025-09-01T09:48:00Z,7.57,m_738,fuel,40.1744,-76.4711,0
T000000091,488600000295,2025-09-01T09:55:00Z,9.26,m_272,travel,43.7998,-100.3802,0
T000000092,495400000142,2025-09-01T09:58:00Z,11.5,m_322,travel,40.6918,-117.8746,0
T000000093,420400000060,2025-09-01T10:01:00Z,45.6,m_659,restaurant,32.2495,-72.2795,0
T000000094,440800000163,2025-09-01T10:01:00Z,12.54,m_157,clothing,28.377,-118.1659,0
T000000095,468200000221,2025-09-01T10:06:00Z,17.8,m_687,clothing,40.4375,-71.6544,0
T000000097,420400000060,2025-09-01T10:24:00Z,17.79,m_112,entertainment,32.6088,-72.7664,0
T000000099,434800000074,2025-09-01T10:32:00Z,7.76,m_688,travel,34.6054,-110.7568,0
T000000100,489100000057,2025-09-01T10:38:00Z,7.05,m_582,clothing,45.5387,-73.5251,0
T000000101,497000000024,2025-09-01T10:45:00Z,15.16,m_008,fuel,35.7264,-96.8097,0
T000000102,498200000023,2025-09-01T10:47:00Z,15.73,m_414,clothing,25.2282,-86.1874,0
T000000103,459900000181,2025-09-01T10:47:00Z,5.09,m_220,fuel,28.5066,-115.4377,0
T000000104,439700000263,2025-09-01T11:01:00Z,37.63,m_135,entertainment,46.757,-93.0469,0
T000000105,454400000155,2025-09-01T11:02:00Z,33.33,m_658,fuel,33.3156,-92.4114,0
T000000106,493900000199,2025-09-01T11:04:00Z,20.75,m_672,electronics,41.2225,-91.0362,0
T000000107,467700000148,2025-09-01T11:05:00Z,18.72,m_503,entertainment,34.0654,-73.1975,0
T000000108,454600000047,2025-09-01T11:06:00Z,30.82,m_134,clothing,43.6142,-96.8512,0
T000000109,415300000169,2025-09-01T11:07:00Z,25.22,m_716,grocery,35.8178,-117.2275,0
T000000110,484400000030,2025-09-01T11:10:00Z,14.38,m_178,fuel,29.3692,-73.4477,0
T000000111,403900000005,2025-09-01T11:14:00Z,21.59,m_294,grocery,26.9806,-89.5432,0
T000000112,432700000078,2025-09-01T11:15:00Z,35.21,m_277,online,31.795,-77.6169,0
T000000114,463700000006,2025-09-01T11:16:00Z,9.64,m_037,electronics,29.0007,-122.8217,0
T000000115,478800000015,2025-09-01T11:18:00Z,64.69,m_728,cash_advance,29.6975,-113.1809,0
T000000116,458800000284,2025-09-01T11:22:00Z,25.83,m_131,electronics,38.8132,-95.4555,0
