account_id,home_lat,home_lon,base_score
A0000,-10.454163,49.500832,0.703708
A0001,-25.115516,55.480209,0.790752
A0002,36.692895,65.083666,0.498407
A0003,-35.94548,48.824041,0.316919
A0004,12.693764,59.043136,0.856925
A0005,-24.170031,-78.61549,0.46567
A0006,-26.105424,-167.657531,0.664745
A0007,1.164027,-32.424383,0.763385
A0008,-14.685244,23.879681,0.62493
A0009,-3.497418,118.980569,0.490034
A0010,20.675538,80.403237,0.301216
A0011,39.864969,-111.474897,0.747802
A0012,49.201017,-54.90432,0.718318
A0013,52.203308,-58.021807,0.88554
A0014,-40.974312,-29.190087,0.882945
A0015,36.29266,41.077247,0.669065
A0016,57.941322,71.166773,0.848856
A0017,-22.646953,-25.249123,0.656921
A0018,10.150525,112.211822,0.818083
A0019,30.879036,-145.861755,0.949125
A0020,-14.835317,60.900053,0.762241
A0021,46.175339,-152.544758,0.318908
A0022,-52.226497,141.177305,0.907498
A0023,-19.768747,-104.424779,0.46843
A0024,24.896919,129.663134,0.712848
A0025,10.943668,-123.994064,0.521671
A0026,-59.463673,13.232861,0.81871
A0027,-49.379971,-22.420862,0.380107
A0028,-47.26235,-111.515966,0.429682
A0029,-48.009297,129.514738,0.596255
A0030,-6.247372,-69.766518,0.508376
A0031,-52.423571,-3.280539,0.431495
A0032,24.219137,-35.86461,0.325585
A0033,21.523335,-141.933629,0.442068
A0034,-35.839504,4.065614,0.945103
A0035,-12.815695,87.700489,0.661207
A0036,-36.212256,71.282024,0.631905
A0037,-31.885877,3.712011,0.308447
A0038,-6.31449,53.464594,0.315913
A0039,-51.009152,-14.582813,0.447573
A0040,21.545834,-85.534223,0.728003
A0041,-21.067982,-123.510071,0.932124
A0042,54.233142,32.880698,0.671956
A0043,-34.528255,12.945953,0.541669
A0044,-35.904226,-169.529962,0.396741
A0045,-18.618229,-92.896383,0.7939
A0046,31.930173,57.086137,0.616637
A0047,33.700466,16.447893,0.699123
A0048,24.978132,-56.533042,0.538093
A0049,11.865024,-92.981313,0.527055
A0050,-36.703415,98.888518,0.912745
A0051,36.361153,-71.700158,0.325765
A0052,-39.486,15.660647,0.485827
A0053,-18.651308,132.612751,0.691873
A0054,34.35124,22.610072,0.590046
A0055,55.300975,-73.562015,0.751045
A0056,-8.785945,121.150539,0.884442
A0057,34.793252,-9.790726,0.646261
A0058,40.527371,-148.224929,0.404552
A0059,-34.283555,-15.478929,0.700789
