row_id,full_name,balance,currency,updated_at
C00051,Alan Berners-Lee,34219.07,EUR,1775159220000
C00064,Frances Lovelace,47858.05,SEK,1775200620000
C00012,Edsger Knuth,46309.74,EUR,1775046480000
C00088,Radia Dijkstra,14447.11,USD,1775258820000
C00054,Frances Cerf,48849.56,USD,1775170500000
C00016,Edsger Berners-Lee,-1658.83,GBP,1775054640000
C00011,Ada Hopper,23749.98,USD,1775040240000
C00015,Donald Hamilton,32766.21,SEK,1775053320000
C00134,Radia Berners-Lee,14243.46,SEK,1775347980000
C00100,Grace McCarthy,13228.23,SEK,1775269800000
C00050,Edsger Allen,45706.23,USD,1775158560000
C00096,Margaret Perlman,10338.53,SEK,1775267940000
C00112,Donald Allen,30287.33,SEK,1775296560000
C00201,Radia Berners-Lee,1134.54,SEK,1775517600000
C00117,Donald Knuth,39242.69,SEK,1775319540000
C00135,Tim Turing,-1322.35,USD,1775348280000
C00198,Grace Hopper,32370.61,GBP,1775508360000
C00082,John Liskov,7297.4,SEK,1775248920000
C00178,Tim Turing,8843.45,USD,1775445540000
C00104,Alan Hamilton,32329.46,USD,1775275080000
C00072,John Perlman,8176.88,EUR,1775222160000
C00123,John McCarthy,46598.55,GBP,1775325900000
C00077,Radia Berners-Lee,36756.96,GBP,1775242440000
C00208,Radia Allen,-1799.93,EUR,1775535720000
C00182,Radia McCarthy,16880.71,SEK,1775465580000
C00187,Tim Knuth,19268.87,EUR,1775476500000
C00030,Grace Turing,9842.56,EUR,1775082120000
C00049,Tim McCarthy,49593.39,USD,1775156340000
C00014,Margaret Berners-Lee,11733.01,SEK,1775051160000
C00066,Frances McCarthy,38581.03,EUR,1775204460000
C00021,Grace Turing,47197.5,USD,1775064060000
C00161,Donald Liskov,33408.79,SEK,1775405760000
C00007,Ada Dijkstra,43104.46,USD,1775030820000
C00159,Margaret Lovelace,4181.87,SEK,1775403480000
C00119,Margaret Lovelace,34071.42,SEK,1775321880000
C00098,Donald Cerf,1814.89,GBP,1775269260000
C00069,Ada Knuth,38829.64,GBP,1775219160000
C00062,Edsger Knuth,20645.23,SEK,1775190900000
C00025,Tim Turing,46120.48,USD,1775073900000
C00052,Margaret Allen,25520.71,SEK,1775168640000
C00110,Grace Turing,46085.84,SEK,1775289360000
C00046,Margaret Knuth,22581.36,USD,1775127060000
C00002,Donald Dijkstra,17719.87,USD,1775013660000
C00094,Radia Lovelace,5015.85,USD,1775262840000
C00085,Radia Allen,40546.67,USD,1775251620000
C00226,Barbara Lovelace,39144.56,GBP,1775598780000
C00124,Radia Hamilton,13426.21,GBP,1775327220000
C00160,Frances Lovelace,26307.0,GBP,1775405040000
C00001,Radia Hopper,29304.4,USD,1775010420000
C00224,Radia Hopper,7382.51,SEK,1775590860000
C00209,Frances Perlman,19750.29,SEK,1775536440000
C00044,Grace Lovelace,667.89,GBP,1775123160000
C00080,Radia Cerf,41327.64,USD,1775246040000
